Date,Symbol,Order,Shares
2023-07-13,amd,BUY,100
2023-07-14,amd,BUY,100
2023-07-17,amd,BUY,100
2023-07-18,amd,SELL,100
2023-07-19,amd,HOLD,100
2023-07-20,amd,HOLD,100
2023-07-21,amd,HOLD,100
2023-07-24,amd,SELL,100
2023-07-25,amd,BUY,100
2023-07-26,amd,HOLD,100
2023-07-27,amd,SELL,100
2023-07-28,amd,BUY,100
2023-07-31,amd,BUY,100
2023-08-01,amd,BUY,100
2023-08-02,amd,HOLD,100
2023-08-03,amd,SELL,100
2023-08-04,amd,BUY,100
2023-08-07,amd,BUY,100
2023-08-08,amd,HOLD,100
2023-08-09,amd,HOLD,100
2023-08-10,amd,HOLD,100
2023-08-11,amd,HOLD,100
2023-08-14,amd,BUY,100
2023-08-15,amd,SELL,100
2023-08-16,amd,HOLD,100
2023-08-17,amd,HOLD,100
2023-08-18,amd,BUY,100
2023-08-21,amd,BUY,100
2023-08-22,amd,HOLD,100
2023-08-23,amd,BUY,100
2023-08-24,amd,HOLD,100
2023-08-25,amd,HOLD,100
2023-08-28,amd,BUY,100
2023-08-29,amd,BUY,100
2023-08-30,amd,BUY,100
2023-08-31,amd,SELL,100
2023-09-01,amd,BUY,100
2023-09-05,amd,BUY,100
2023-09-06,amd,HOLD,100
2023-09-07,amd,HOLD,100
2023-09-08,amd,HOLD,100
2023-09-11,amd,HOLD,100
2023-09-12,amd,HOLD,100
2023-09-13,amd,BUY,100
2023-09-14,amd,SELL,100
2023-09-15,amd,HOLD,100
2023-09-18,amd,SELL,100
2023-09-19,amd,SELL,100
2023-09-20,amd,HOLD,100
2023-09-21,amd,HOLD,100
2023-09-22,amd,HOLD,100
2023-09-25,amd,BUY,100
2023-09-26,amd,HOLD,100
2023-09-27,amd,BUY,100
2023-09-28,amd,BUY,100
2023-09-29,amd,BUY,100
2023-10-02,amd,SELL,100
2023-10-03,amd,SELL,100
2023-10-04,amd,BUY,100
2023-10-05,amd,SELL,100
2023-10-06,amd,BUY,100
2023-10-09,amd,SELL,100
2023-10-10,amd,BUY,100
2023-10-11,amd,SELL,100
2023-10-12,amd,SELL,100
2023-10-13,amd,HOLD,100
2023-10-16,amd,HOLD,100
2023-10-17,amd,HOLD,100
2023-10-18,amd,HOLD,100
2023-10-19,amd,SELL,100
2023-10-20,amd,HOLD,100
2023-10-23,amd,HOLD,100
2023-10-24,amd,BUY,100
2023-10-25,amd,HOLD,100
2023-10-26,amd,HOLD,100
2023-10-27,amd,BUY,100
2023-10-30,amd,SELL,100
2023-10-31,amd,SELL,100
2023-11-01,amd,BUY,100
2023-11-02,amd,BUY,100
2023-11-03,amd,BUY,100
2023-11-06,amd,SELL,100
2023-11-07,amd,BUY,100
2023-11-08,amd,SELL,100
2023-11-09,amd,SELL,100
2023-11-10,amd,BUY,100
2023-11-13,amd,SELL,100
2023-11-14,amd,BUY,100
2023-11-15,amd,HOLD,100
2023-11-16,amd,SELL,100
2023-11-17,amd,SELL,100
2023-11-20,amd,SELL,100
2023-11-21,amd,HOLD,100
2023-11-22,amd,BUY,100
2023-11-24,amd,SELL,100
2023-11-27,amd,SELL,100
2023-11-28,amd,SELL,100
2023-11-29,amd,BUY,100
2023-11-30,amd,HOLD,100
2023-12-01,amd,SELL,100
2023-12-04,amd,HOLD,100
2023-12-05,amd,SELL,100
2023-12-06,amd,HOLD,100
2023-12-07,amd,BUY,100
2023-12-08,amd,BUY,100
2023-12-11,amd,BUY,100
2023-12-12,amd,BUY,100
2023-12-13,amd,BUY,100
2023-12-14,amd,SELL,100
2023-12-15,amd,SELL,100
2023-12-18,amd,SELL,100
2023-12-19,amd,SELL,100
2023-12-20,amd,HOLD,100
2023-12-21,amd,SELL,100
2023-12-22,amd,SELL,100
2023-12-26,amd,BUY,100
2023-12-27,amd,BUY,100
2023-12-28,amd,BUY,100
2023-12-29,amd,SELL,100
2024-01-02,amd,HOLD,100
2024-01-03,amd,HOLD,100
