Date,Symbol,Order,Shares
2011-01-10,AAPL,BUY,1500
2011-01-13,AAPL,SELL,1500
2011-01-13,IBM,HOLD,4000
2011-01-13,IBM,BUY,4000
2011-01-26,GOOG,BUY,1000
2011-02-02,XOM,SELL,4000
2011-02-10,XOM,BUY,4000
2011-03-03,GOOG,SELL,1000
2011-03-03,GOOG,SELL,2200
2011-06-03,IBM,SELL,3300
2011-05-03,IBM,BUY,1500
2011-06-10,AAPL,BUY,1200
2011-08-01,GOOG,BUY,55
2011-08-01,GOOG,SELL,55
2011-12-20,AAPL,SELL,1200
2011-12-21,AAPL,BUY,20
2011-12-27,GOOG,BUY,2200
2011-12-28,IBM,SELL,2200
2011-12-29,IBM,BUY,2200
2011-12-30,IBM,SELL,2200
2012-01-03,IBM,BUY,2200
2012-01-04,IBM,SELL,2200
2012-01-05,IBM,BUY,2200
2012-01-06,IBM,SELL,2200
2012-01-09,AAPL,BUY,2200
2012-01-10,AAPL,SELL,2200
2012-01-10,IBM,BUY,2200
2013-01-10,IBM,SELL,2200
2013-01-10,NVDA,BUY,2200
2024-05-24,NVDA,SELL,2200
